CLTCV,CLCCV,CLACB,ESCCV,ESRCV,ESTCB,ESTCV,GECCB,NGACB,NGCCV,NGTCV,NNCCB,PAACV,SOEGB
0.118352209,-0.4305794,-0.372583129,-0.443389313,-0.455448177,-0.320211251,-0.384998272,-0.549054633,1.224799817,-0.282842272,-0.21934379,-0.060226028,-0.128090405,-0.356547855
0.424040878,0.624502793,-0.372583129,-0.338223906,-0.38073812,-0.410987927,-0.308277995,-0.549054633,-0.302014208,-0.000248085,-0.193066091,-0.192013052,-0.166505837,-0.356547855
0.274225932,-0.4305794,-0.372583129,-0.298031768,-0.304679676,-0.363799258,-0.243338036,-0.549054633,-1.920348894,0.075275841,-0.181213507,-0.531528474,-0.238032929,-0.356547855
0.388635535,0.463920949,-0.372583129,-0.147584297,-0.229120847,-0.277614078,-0.162549715,-0.549054633,-1.584539599,0.118871483,-0.13967268,-0.391097465,-0.20006949,-0.356547855
0.574881731,0.394038109,-0.372583129,0.009172166,-0.111298066,-0.127103932,-0.021171978,-0.549054633,-0.329858072,0.114713637,-0.131667523,-0.381711379,-0.168186182,-0.356547855
0.401548899,-0.4305794,-0.372583129,0.113754423,-0.038260797,-0.081578199,0.053021361,-0.549054633,-1.88612065,-0.137404169,-0.357343219,-0.682369872,-0.290738665,-0.356547855
0.226385138,-0.343448881,-0.372583129,0.132270551,0.056890285,0.041170027,0.114487519,-0.549054633,-0.855536128,-0.018493353,-0.304577018,0.024240244,-0.223700144,-0.356547855
0.473339396,-0.322632716,-0.372583129,0.22401309,0.160027773,0.146507907,0.220676663,-0.549054633,-0.435184218,0.109297504,-0.23573715,0.140139851,-0.246710049,-0.356547855
0.662589698,-0.4305794,-0.372583129,0.319470672,0.218527686,0.231209011,0.289838388,-0.463404579,-0.365301529,0.071930807,-0.210556153,0.25606164,-0.163954626,-0.356547855
0.701294073,-0.315793119,-0.372583129,0.415526414,0.258539074,0.264603259,0.362118882,-0.463404579,1.334577758,0.069642368,-0.262549569,0.151135089,-0.070356314,-0.356547855
0.697338026,-0.122797531,-0.372583129,0.425587646,0.297656515,0.2821254,0.394852635,-0.463404579,0.851590247,0.103315149,-0.257227055,-0.047941235,-0.116673785,-0.356547855
0.771565707,3.470369927,-0.372583129,0.532649953,0.419245653,0.365512964,0.522809902,-0.463404579,0.877706163,0.110689716,-0.229973518,-0.112372338,-0.056154157,-0.356547855
0.848705066,0.575436119,-0.372583129,0.577849132,0.474110302,0.400507199,0.584229235,-0.463404579,-0.67199517,0.099720804,-0.23662188,-0.034322767,0.051964922,-0.356547855
0.952278731,-0.312522007,-0.372583129,0.605587249,0.554136283,0.533446869,0.633453984,-0.463404579,1.26522078,0.221762206,-0.189708083,0.28176191,0.062900426,-0.356547855
0.65509368,5.363154076,-0.372583129,0.620555556,0.501520866,0.593896569,0.61097664,-0.463404579,-0.347970064,0.173665449,-0.217413882,0.144029311,0.107501905,-0.356547855
0.717017244,-0.246207653,-0.372583129,0.706362616,0.625366446,0.755577385,0.720830011,-0.463404579,-0.72645457,0.150691438,-0.193024205,0.143769944,0.283052033,-0.356547855
0.842925746,-0.23342058,-0.372583129,0.739506819,0.681259583,0.865257085,0.7637859,-0.463404579,-0.328926305,0.273881693,-0.127313558,0.436746444,0.270593722,-0.356547855
0.801084379,-0.038046002,-0.372583129,0.79909832,0.730812273,0.929430526,0.798639802,-0.463404579,-0.047618628,0.535166436,-0.003616213,0.722344927,0.166153787,-0.356547855
0.882246132,-0.363967672,-0.372583129,0.856218682,0.776508596,1.013549537,0.8361627,1.692961486,-0.276524048,0.555567155,0.04359579,0.623823409,0.329123882,-0.356547855
0.887125747,-0.40232889,-0.372583129,0.959860167,0.946314973,1.173959734,0.961247683,1.692961486,0.235218875,0.741566228,0.468169662,0.749596665,0.715514434,-0.356547855
0.861605449,0.171899891,-0.372583129,1.023078483,1.022582566,1.226885218,1.006485745,1.692961486,0.623912899,0.993300375,0.757100316,0.53125482,0.667443361,-0.226228311
0.770976709,0.325642138,-0.372583129,1.024593492,1.03265085,1.241983742,1.000961088,1.970064601,0.202532261,1.183298455,0.660580508,0.710849051,0.594362717,-0.236117486
0.790459997,0.280441323,-0.372583129,1.083258463,1.160284522,1.310383834,1.092715584,2.146878054,-0.270613938,1.066096167,1.061507362,0.795456154,1.005437566,-0.252216702
0.923262382,0.452025997,-0.372583129,1.204693359,1.287832891,1.442375781,1.226775298,2.156772146,-0.800868974,1.338184011,1.805570776,0.991226101,1.463348594,0.745873049
1.137224422,1.097921861,-0.372583129,1.36656393,1.541838788,1.556039674,1.427676289,2.255878831,-0.203504491,1.584148295,2.305411471,0.782165642,2.138443378,3.145824583
1.201207767,0.472842162,-0.372583129,1.692671784,1.867616249,1.734673162,1.729481244,2.052947655,0.573679574,2.290034126,2.356463858,0.929825595,2.546210076,3.00344939
1.50688361,0.634613502,-0.372583129,1.970938207,2.146093254,1.916930116,1.995681184,1.856484569,0.562127234,2.482860677,2.830312377,0.953738442,2.722735479,1.848269709
1.905306586,-0.4305794,-0.372583129,2.186364202,2.228617277,1.87413262,2.169144414,1.481254201,1.021230408,2.51046301,3.455258332,0.922307383,3.178398092,3.385526256
1.696990667,-0.4305794,-0.372583129,2.254274278,2.337514101,1.743005791,2.200744051,1.557465619,0.450605568,2.239623676,1.770668449,0.811022436,1.793352657,3.204081559
