BMTCB,CLCCB,CLEIB,CLICV,ELIMB,ESCCV,ESICB,ESTCB,NGCCV,NGRCV,NNCCB,PAACV,NUETB
0.026157555,-0.536237933,-0.828792683,0.401740325,2.700169636,0.04355746,0.57683564,0.275562268,0.107203651,0.16269915,-0.30233499,-0.222616447,0.842692028
0.272556786,-0.424344068,-0.828792683,0.495571855,2.520480986,0.125835516,0.628464719,0.403958996,0.117427901,0.247502091,0.543938648,-0.17123329,0.907298258
1.75555542,-0.335879658,-0.059662926,0.771116183,1.33582652,0.241605262,0.680584872,0.461325518,0.238987277,0.285327938,0.859140261,-0.063664285,1.017699883
1.460217632,-0.040349166,0.874357903,1.172869316,1.495289874,0.372732283,0.705941412,0.57525511,0.473511301,0.338751902,1.425660832,0.080860149,1.029496397
1.385594238,0.36953349,1.476336323,1.053140896,0.606478652,0.436949385,0.731638974,0.535240828,0.618826563,0.457987629,1.448007264,-0.035144509,0.929951034
1.548531124,-0.543953898,1.58581116,0.934203768,0.131928595,0.523797052,0.808719736,0.613825823,0.480842822,0.279121906,1.388562529,0.06394621,1.179997977
0.826030042,2.397214779,1.679919158,0.511376521,0.093469892,0.511045311,0.731479314,0.56554008,0.532582363,0.421468019,0.641270563,0.038452644,0.936726219
0.867283442,3.0317691,1.574149744,0.5572622,0.15823483,0.533514686,1.046722162,0.617709583,0.957554747,0.532267271,0.805749909,0.053120412,1.073973176
0.559517874,2.388972353,1.280076077,0.578553811,0.073138886,0.546845914,0.832539916,0.600022901,0.796490646,0.391160911,1.143047525,0.089959256,0.845925661
0.407051403,3.40876616,0.979222574,0.43312589,-0.130825588,0.489356432,0.859611605,0.690256327,0.401004955,0.380891506,0.260516255,0.220024067,1.108788419
0.046777674,1.886953415,0.795257318,0.710030766,-0.059354418,0.578824474,1.231419306,0.850279195,0.673205098,0.496847235,0.605954963,0.248756411,0.86157097
-0.218156452,2.09852716,0.986635555,0.041230405,-0.20246607,0.601238905,1.199174456,0.990416475,0.862452035,0.793452683,1.513433724,0.079665681,1.140132886
-0.004446119,0.08015194,1.170962327,0.120490907,-0.157447156,0.549860433,1.334387145,0.964153101,0.523634835,0.770520025,0.378579502,0.311664533,1.047622052
0.182752557,-0.002301297,1.166352027,0.073024156,1.65878449,0.744083243,1.428251014,1.115307577,0.94862587,1.031546093,0.090727011,0.709030904,1.165669523
0.163533027,-0.547388778,1.079748485,-0.000500339,0.723783945,1.283202693,1.31933051,1.175950348,1.468515276,1.633849595,0.408267625,0.617322066,1.035729208
0.326581303,-0.546873508,1.24102271,0.039679817,0.117641348,1.570825303,0.067325402,0.970418813,0.456800736,0.69951615,0.255407962,0.570517405,1.112620118
1.08828073,-0.542899102,1.134259557,0.104066611,1.050155052,1.482174181,0.192684131,1.101613291,0.996516082,1.197224557,0.133480494,1.002550059,1.192249176
1.589898127,-0.364662132,1.208391763,0.124202415,-0.229724579,1.515787584,0.098541693,1.245859631,1.116532157,1.471080994,0.103144121,1.371935785,0.83164485
1.524680363,-0.100419804,1.041819092,0.493682914,1.713855136,1.546917414,0.221284288,1.282287699,1.705542428,1.843376884,0.154482561,1.910309821,1.233900439
1.396892797,-0.515008623,1.152892685,0.700048155,0.507301504,1.861743054,0.285508375,1.424967238,1.774591448,1.879468606,0.417463837,2.354354426,0.948437336
1.52236202,-0.547937598,1.28279964,0.986402708,1.788800359,1.903932827,0.246673942,1.445878169,1.787750748,1.824293277,0.511857231,2.635396135,1.220679116
1.587083396,-0.547937598,1.307362797,0.894930139,1.59712273,1.869692238,0.28897239,1.510104417,2.252940756,2.119602969,0.608477278,3.233393787,0.987665036
1.506212154,-0.547937598,1.077273837,0.364710206,0.556883807,1.980620578,0.014771658,1.369676306,1.020928389,1.189559975,0.514369824,1.933354331,0.940153685
