MSN,Description,Unit
ESISB,Electricity sales to the industrial sector excluding refinery use.,Billion Btu
ESRCB,"Electricity consumed by (i.e., sold to) the residential sector.",Billion Btu
ESRCD,Electricity price in the residential sector.,Dollars per million Btu
ESRCP,"Electricity consumed by (i.e., sold to) the residential sector.",Million kilowatthours
ESRCV,Electricity expenditures in the residential sector.,Million dollars
ESRFB,Electricity consumed by refineries.,Billion Btu
ESTCB,"Electricity total consumption (i.e., sold).",Billion Btu
ESTCD,"Electricity average price, all sectors.",Dollars per million Btu
ESTCP,"Electricity total consumption (i.e., sold).",Million kilowatthours
ESTCV,Electricity total expenditures.,Million dollars
ESTXB,"Electricity total end-use consumption (i.e., sold).",Billion Btu
ESTXD,"Electricity average price, all end-use sectors.",Dollars per million Btu
ESTXP,"Electricity total end-use consumption (i.e., sold).",Thousand barrels
ESTXV,Electricity total end-use expenditures.,Million dollars
FFETK,"Fossil fueled steam-electric power plant conversion factor, United States only.",Thousand Btu per kilowatthour
FFTCB,"Fossil fuelS, total consumption.",Billion Btu
FNICB,"Petrochemical feedstocks, naphtha less than 401 degrees F, consumed by the industrial sector.",Billion Btu
FNICD,"Petrochemical feedstocks, naphtha less than 401 F, price in the industrial sector.",Dollars per million Btu
FNICP,"Petrochemical feedstocks, naphtha less than 401 degrees F, consumed by the industrial sector.",Thousand barrels
FNICV,"Petrochemical feedstocks, naphtha less than 401 F, expenditures in the industrial sector.",Million dollars
FOICB,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, consumed by the industrial sector.",Billion Btu
FOICD,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, price in the industrial sector.",Dollars per million Btu
FOICP,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, consumed by the industrial sector.",Thousand barrels
FOICV,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, expenditures in the industrial sector.",Million dollars
FSICB,"Petrochemical feedstocks, still gas, consumed by the industrial sector.",Billion Btu
FSICD,"Petrochemical feedstocks, still gas, price in the industrial sector.",Dollars per million Btu
FSICP,"Petrochemical feedstocks, still gas, consumed by the industrial sector.",Thousand barrels
FSICV,"Petrochemical feedstocks, still gas, expenditures in the industrial sector.",Million dollars
GDPRV,Current-dollar gross domestic product.,Million dollars
GDPRX,Real gross domestic product.,Million chained (2005) dollars
GECCB,Direct use of geothermal energy and heat pumps in the commercial sector.,Billion Btu
GEEGB,Electricity produced from geothermal energy by the electric power sector.,Billion Btu
GEEGP,Electricity produced from geothermal energy by the electric power sector.,Million kilowatthours
GEICB,Direct use of geothermal energy and heat pumps in the industrial sector.,Billion Btu
GERCB,Direct use of geothermal energy and heat pumps in the residential sector.,Billion Btu
GETCB,Geothermal energy total consumption.,Billion Btu
GETXB,Geothermal total end-use consumption.,Billion Btu
GOCCB,Geothermal energy and hydroelectricity consumed in the commercial sector.,Billion Btu
GORCB,Geothermal and solar energy consumed in the residential sector.,Billion Btu
HYCCB,Hydroelectricity produced in the commercial sector.,Billion Btu
HYCCP,Hydroelectricity produced in the commercial sector.,Million kilowatthours
HYEGB,Hydroelectricity produced by the electric power sector.,Billion Btu
HYEGP,Hydroelectricity produced by the electric power sector.,Million kilowatthours
HYICB,Hydroelectricity produced in the industrial sector.,Billion Btu
HYICP,Hydroelectricity produced in the industrial sector.,Million kilowatthours
HYTCB,Hydroelectricity total production.,Billion Btu
HYTCP,Hydroelectricity total production.,Million kilowatthours
HYTXB,Hydroelectricity produced by the end-use sectors.,Billion Btu
HYTXP,Hydroelectricity produced by the end-use sectors.,Million kilowatthours
JFACB,Jet fuel consumed by the transportation sector.,Billion Btu
JFACD,Jet fuel price in the transportation sector.,Dollars per million Btu
JFACP,Jet fuel consumed by the transportation sector.,Thousand barrels
JFACV,Jet fuel expenditures in the transportation sector.,Million dollars
JFTCB,Jet fuel total consumption.,Billion Btu
JFTCD,"Jet fuel average price, all sectors.",Dollars per million Btu
JFTCP,Jet fuel total consumption.,Thousand barrels
JFTCV,Jet fuel total expenditures.,Million dollars
JFTXB,Jet fuel total end-use consumption.,Billion Btu
JFTXD,"Jet fuel average price, all end-use sectors.",Dollars per million Btu
JFTXP,Jet fuel total end-use consumption.,Thousand barrels
JFTXV,Jet fuel total end-use expenditures.,Million dollars
JKACB,Kerosene-type jet fuel consumed by the transportation sector.,Billion Btu
JKACP,Kerosene-type jet fuel consumed by the transportation sector.,Thousand barrels
JKTCB,Kerosene-type jet fuel total consumption.,Billion Btu
JKTCP,Kerosene-type jet fuel total consumption.,Thousand barrels
JNACB,Naphtha-type jet fuel consumed by the transportation sector.,Billion Btu
JNACP,Naphtha-type jet fuel consumed by the transportation sector.,Thousand barrels
JNTCB,Naphtha-type jet fuel total consumption.,Billion Btu
JNTCP,Naphtha-type jet fuel total consumption.,Thousand barrels
KSCCB,Kerosene consumed by the commercial sector.,Billion Btu
KSCCD,Kerosene price in the commercial sector.,Dollars per million Btu
KSCCP,Kerosene consumed by the commercial sector.,Thousand barrels
KSCCV,Kerosene expenditures in the commercial sector.,Million dollars
KSICB,Kerosene consumed by the industrial sector.,Billion Btu
KSICD,Kerosene price in the industrial sector.,Dollars per million Btu
KSICP,Kerosene consumed by the industrial sector.,Thousand barrels
KSICV,Kerosene expenditures in the industrial sector.,Million dollars
KSRCB,Kerosene consumed by the residential sector.,Billion Btu
KSRCD,Kerosene price in the residential sector.,Dollars per million Btu
KSRCP,Kerosene consumed by the residential sector.,Thousand barrels
KSRCV,Kerosene expenditures in the residential sector.,Million dollars
KSTCB,Kerosene total consumption.,Billion Btu
KSTCD,"Kerosene average price, all sectors.",Dollars per million Btu
KSTCP,Kerosene total consumption.,Thousand barrels
KSTCV,Kerosene total expenditures.,Million dollars
KSTXB,Kerosene total end-use consumption.,Billion Btu
KSTXD,"Kerosene average price, all end-use sectors.",Dollars per million Btu
KSTXP,Kerosene total end-use consumption.,Thousand barrels
KSTXV,Kerosene total end-use expenditures.,Million dollars
LGACB,LPG consumed by the transportation sector.,Billion Btu
LGACD,LPG price in the transportation sector.,Dollars per million Btu
LGACP,LPG consumed by the transportation sector.,Thousand barrels
LGACV,LPG expenditures in the transportation sector.,Million dollars
LGCCB,LPG consumed by the commercial sector.,Billion Btu
LGCCD,LPG price in the commercial sector.,Dollars per million Btu
LGCCP,LPG consumed by the commercial sector.,Thousand barrels
LGCCV,LPG expenditures in the commercial sector.,Million dollars
LGICB,LPG consumed by the industrial sector.,Billion Btu
LGICD,LPG price in the industrial sector.,Dollars per million Btu
LGICP,LPG consumed by the industrial sector.,Thousand barrels
LGICV,LPG expenditures in the industrial sector.,Million dollars
LGISB,LPG consumed in the industrial sector excluding refinery fuel.,Billion Btu
LGRCB,LPG consumed by the residential sector.,Billion Btu
LGRCD,LPG price in the residential sector.,Dollars per million Btu
LGRCP,LPG consumed by the residential sector.,Thousand barrels
LGRCV,LPG expenditures in the residential sector.,Million dollars
LGRFB,LPG consumed as refinery fuel.,Billion Btu
LGTCB,LPG total consumption.,Billion Btu
LGTCD,"LPG average price, all sectors.",Dollars per million Btu
LGTCK,"Factor for converting LPG physical units to Btu, United States only.",Million Btu per barrel
LGTCP,LPG total consumption.,Thousand barrels
LGTCV,LPG total expenditures.,Million dollars
LGTXB,LPG total end-use consumption.,Billion Btu
LGTXD,"LPG average price, all end-use sectors.",Dollars per million Btu
LGTXP,LPG total end-use consumption.,Thousand barrels
LGTXV,LPG total end-use expenditures.,Million dollars
LOACB,The transportation sector's share of electrical system energy losses.,Billion Btu
LOCCB,The commercial sector's share of electrical system energy losses.,Billion Btu
LOICB,The industrial sector's share of electrical system energy losses.,Billion Btu
LORCB,The residential sector's share of electrical system energy losses.,Billion Btu
LOTCB,Total electrical system energy losses.,Billion Btu
LOTXB,Total electrical system energy losses allocated to the end-use sectors.,Billion Btu
LUACB,Lubricants consumed by the transportation sector.,Billion Btu
LUACD,Lubricants price in the transportation sector.,Dollars per million Btu
LUACP,Lubricants consumed by the transportation sector.,Thousand barrels
LUACV,Lubricants expenditures in the transportation sector.,Million dollars
LUICB,Lubricants consumed by the industrial sector.,Billion Btu
LUICD,Lubricants price in the industrial sector.,Dollars per million Btu
LUICP,Lubricants consumed by the industrial sector.,Thousand barrels
LUICV,Lubricants expenditures in the industrial sector.,Million dollars
LUTCB,Lubricants total consumption.,Billion Btu
LUTCD,"Lubricants average price, all sectors.",Dollars per million Btu
LUTCP,Lubricants total consumption.,Thousand barrels
LUTCV,"Lubricants average price, all sectors.",Million dollars
LUTXB,Lubricants total end-use consumption.,Billion Btu
LUTXD,"Lubricants average price, all end-use sectors.",Dollars per million Btu
LUTXP,Lubricants total end-use consumption.,Thousand barrels
LUTXV,Lubricants total end-use expenditures.,Million dollars
MBICB,Motor gasoline blending components consumed by the industrial sector.,Billion Btu
MBICP,Motor gasoline blending components consumed by the industrial sector.,Thousand barrels
MGACB,Motor gasoline consumed by the transportation sector.,Billion Btu
MGACD,Motor gasoline price in the transportation sector.,Dollars per million Btu
MGACP,Motor gasoline consumed by the transportation sector.,Thousand barrels
MGACV,Motor gasoline expenditures in the transportation sector.,Million dollars
MGCCB,Motor gasoline consumed by the commercial sector.,Billion Btu
MGCCD,Motor gasoline price in the commercial sector.,Dollars per million Btu
MGCCP,Motor gasoline consumed by the commercial sector.,Thousand barrels
MGCCV,Motor gasoline expenditures in the commercial sector.,Million dollars
MGICB,Motor gasoline consumed by the industrial sector.,Billion Btu
MGICD,Motor gasoline price in the industrial sector.,Dollars per million Btu
MGICP,Motor gasoline consumed by the industrial sector.,Thousand barrels
MGICV,Motor gasoline expenditures in the industrial sector.,Million dollars
MGTCB,Motor gasoline total consumption.,Billion Btu
MGTCD,"Motor gasoline average price, all sectors.",Dollars per million Btu
MGTCK,"Factor converting motor gasoline physical units to Btu, United States only.",Million Btu per barrel
MGTCP,Motor gasoline total consumption.,Thousand barrels
MGTCV,Motor gasoline total expenditures.,Million dollars
MGTXB,Motor gasoline total end-use consumption.,Billion Btu
MGTXD,"Motor gasoline average price, all end-use sectors.",Dollars per million Btu
MGTXP,Motor gasoline total end-use consumption.,Thousand barrels
MGTXV,Motor gasoline total end-use expenditures.,Million dollars
MMTCB,Motor gasoline total consumption excluding fuel ethanol.,Billion Btu
MSICB,Miscellaneous petroleum products consumed by the industrial sector.,Billion Btu
MSICD,Miscellaneous petroleum products price in the industrial sector.,Dollars per million Btu
MSICP,Miscellaneous petroleum products consumed by the industrial sector.,Thousand barrels
MSICV,Miscellaneous petroleum products expenditures in the industrial sector.,Million dollars
NAICB,Natural gasoline consumed by the industrial sector.,Billion Btu
NAICP,Natural gasoline consumed by the industrial sector.,Thousand barrels
NGACB,Natural gas consumed by the transportation sector. ,Billion Btu
NGACD,Natural gas price in the transportation sector.,Dollars per million Btu
NGACP,Natural gas consumed by the transportation sector.,Million cubic feet
NGACV,Natural gas expenditures in the transportation sector.,Million dollars
NGCCB,Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels).,Billion Btu
NGCCD,Natural gas price in the commercial sector (including supplemental gaseous fuels).,Dollars per million Btu
NGCCP,Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels).,Million cubic feet
NGCCV,Natural gas expenditures in the commercial sector (including supplemental gaseous fuels).,Million dollars
NGEIB,Natural gas consumed by the electric power sector (including supplemental gaseous fuels).,Billion Btu
NGEID,Natural gas price in the electric power sector (including supplemental gaseous fuels).,Dollars per million Btu
NGEIK,Factor for converting natural gas consumed by the electric power sector from physical units to Btu.,Thousand Btu per cubic foot
NGEIP,Natural gas consumed by the electric power sector (including supplemental gaseous fuels).,Million cubic feet
NGEIV,Natural gas expenditures in the electric power sector (including supplemental gaseous fuels).,Million dollars
NGICB,Natural gas consumed by (delivered to) the industrial sector (including supplemental gaseous fuels).,Billion Btu
NGICD,Natural gas price in the industrial sector (including supplemental gaseous fuels).,Dollars per million Btu
NGICP,Natural gas consumed by (delivered to) the industrial sector (including supplemental gaseous fuels).,Million cubic feet
NGICV,Natural gas expenditures in the industrial sector (including supplemental gaseous fuels).,Million dollars
NGISB,Natural gas consumed by the industrial sector excluding refinery fuel (including supplemental gaseous fuels).,Billion Btu
NGLPB,Natural gas consumed as lease and plant fuel.,Billion Btu
NGLPP,Natural gas consumed as lease and plant fuel.,Million cubic feet
NGMPB,Natural gas marketed production.,Billion Btu
NGMPK,Conversion factor for natural gas marketed production.,Thousand Btu per cubic feet
NGMPP,Natural gas marketed production.,Million cubic feet
NGPZB,Natural gas consumed as pipeline fuel.,Billion Btu
NGPZP,Natural gas consumed as pipeline fuel.,Million cubic feet
NGRCB,Natural gas consumed by (delivered to) the residential sector (including supplemental gaseous fuels).,Billion Btu
NGRCD,Natural gas price in the residential sector (including supplemental gaseous fuels).,Dollars per million Btu
NGRCP,Natural gas consumed by (delivered to) the residential sector (including supplemental gaseous fuels).,Million cubic feet
NGRCV,Natural gas expenditures in the residential sector (including supplemental gaseous fuels).,Million dollars
NGRFB,Natural gas consumed as refinery fuel (including supplemental gaseous fuels). ,Billion Btu
NGTCB,Natural gas total consumption (including supplemental gaseous fuels).,Billion Btu
NGTCD,"Natural gas average price, all sectors (including supplemental gaseous fuels).",Dollars per million Btu
NGTCK,Factor for converting natural gas total consumption from physical units to Btu.,Thousand Btu per cubic foot
NGTCP,Natural gas total consumption (including supplemental gaseous fuels).,Million cubic feet
NGTCV,Natural gas total expenditures (including supplemental gaseous fuels).,Million dollars
NGTXB,Natural gas total end-use consumption (including supplemental gaseous fuels).,Billion Btu
NGTXD,"Natural gas average price, all end-use sectors (including supplemental gaseous fuels).",Dollars per million Btu
NGTXK,Factor for converting natural gas consumed by all sectors other than electric power from physical units to Btu.,Thousand Btu per cubic foot
NGTXP,Natural gas total end-use consumption (including supplemental gaseous fuels).,Million cubic feet
NGTXV,Natural gas total end-use expenditures (including supplemental gaseous fuels).,Million dollars
NGVHB,Natural gas consumed as vehicle fuel.,Billion Btu
NGVHP,Natural gas consumed as vehicle fuel.,Million cubic feet
NNACB,Natural gas consumed by the transportation sector.  (Code used in SEDS 2006.),Billion Btu
NNCCB,Natural gas consumed by (delivered to) the commercial sector (excluding supplemental gaseous fuels).  (Code used in SEDS 2006.),Billion Btu
NNEIB,Natural gas consumed by the electric power sector (excluding supplemental gaseous fuels).  (Code used in SEDS 2006.),Billion Btu
NNICB,Natural gas consumed by (delivered to) the industrial sector (excluding supplemental gaseous fuels).  (Code used in SEDS 2006.),Billion Btu
NNRCB,Natural gas consumed by (delivered to) the residential sector (excluding supplemental gaseous fuels).  (Code used in SEDS 2006.),Billion Btu
NNTCB,Natural gas total consumption (excluding supplemental gaseous fuels).,Billion Btu
NUEGB,Electricity produced from nuclear power by the electric power sector.,Billion Btu
NUEGD,Nuclear fuel price in the electric power sector.,Dollars per million Btu
NUEGP,Electricity produced from nuclear power by the electric power sector.,Million kilowatthours
NUEGV,Nuclear fuel expenditures in the electric power sector.,Million dollars
NUETB,Electricity produced from nuclear power.,Billion Btu
NUETD,"Nuclear fuel average price, all sectors.",Dollars per million Btu
NUETK,"Factor for converting electricity produced from nuclear power from physical units to Btu, United States only.",Thousand Btu per kilowatthour
NUETP,Electricity produced from nuclear power.,Million kilowatthours
NUETV,Nuclear fuel total expenditures.,Million dollars
P1ICB,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" consumed by the industrial sector.",Billion Btu
P1ICD,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" average price in the  industrial sector.",Dollars per million Btu
P1ICP,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" consumed by the industrial sector.",Thousand barrels
P1ICV,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" expenditures in the  industrial sector.",Million dollars
P1TCB,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total consumption.",Billion Btu
P1TCD,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" average price, all sectors.",Dollars per million Btu
P1TCP,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total consumption.",Thousand barrels
P1TCV,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total expenditures.",Million dollars
P1TXB,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use consumption.",Billion Btu
P1TXD,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" average price, all end-use sectors.",Dollars per million Btu
P1TXP,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use consumption.",Thousand barrels
P1TXV,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use expenditures.",Million dollars
P5RFB,"Other petroleum products (SG and PC consumed as process fuel and AB, MB, PP, and UO consumed as intermediate products).",Billion Btu
PAACB,All petroleum products consumed by the transportation sector.,Billion Btu
PAACD,All petroleum products average price in the transportation sector.,Dollars per million Btu
PAACK,"Factor for converting all petroleum products consumed by the transportation sector from physical units to Btu, United States only.",Million Btu per barrel
PAACP,All petroleum products consumed by the transportation sector.,Thousand barrels
PAACV,All petroleum products total expenditures in the transportation sector.,Million dollars
PACCB,All petroleum products consumed by the commercial sector.,Billion Btu
PACCD,All petroleum products average price in the commercial sector.,Dollars per million Btu
PACCK,"Factor for converting all petroleum products consumed by the commercial sector from physical units to Btu, United States only.",Million Btu per barrel
